SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,18-64 yrs,Bay Area,08/26/2023,34,2023,2753,28292,9.7306659126254775,Moderate,46,3045,1.510700,Very Low,5,1251,0.399700,Very Low,,,,,,,,,,,,,,,,217,2,0,0,0.921659,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,09/02/2023,35,2023,674,9424,7.1519524617996595,Low,37,1694,2.184200,Low,50,1231,4.061700,Moderate,,,,,,,,,,,,,,,,9,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,09/02/2023,35,2023,284,2098,13.536701620591037,High,15,521,2.879100,Low,4,262,1.526700,Low,,,,,,,,,,,,,,,,1,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,09/02/2023,35,2023,873,5136,16.997663551401871,High,20,706,2.832900,Low,1,320,0.312500,Very Low,,,,,,,,,,,,,,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,09/02/2023,35,2023,161,809,19.901112484548825,Very High,1,194,0.515500,Very Low,0,89,0.000000,Very Low,,,,,,,,,,,,,,,,26,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Southern California,09/02/2023,35,2023,1539,8860,17.370203160270879,Very High,30,4013,0.747600,Very Low,7,1860,0.376300,Very Low,,,,,,,,,,,,,,,,1368,34,0,0,2.485380,0.000000,0.000000,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,09/09/2023,36,2023,761,4677,16.271113961941417,High,21,698,3.008600,Low,0,312,0.000000,Very Low,,,,,,,,,,,,,,,,19,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,09/16/2023,37,2023,784,5033,15.577190542420027,High,15,766,1.958200,Very Low,0,368,0.000000,Very Low,,,,,,,,,,,,,,,,9,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,09/16/2023,37,2023,139,927,14.994606256742179,High,5,292,1.712300,Very Low,0,167,0.000000,Very Low,,,,,,,,,,,,,,,,19,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,09/16/2023,37,2023,612,6940,8.8184438040345832,Moderate,42,2685,1.564200,Very Low,47,1935,2.428900,Low,,,,,,,,,,,,,,,,24,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Los Angeles,09/23/2023,38,2023,349,4920,7.0934959349593498,Low,32,2059,1.554200,Very Low,20,1153,1.734600,Low,,,,,,,,,,,,,,,,8,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,09/23/2023,38,2023,1200,17510,6.8532267275842367,Low,25,3468,0.720900,Very Low,3,1485,0.202000,Very Low,,,,,,,,,,,,,,,,852,26,0,0,3.051643,0.000000,0.000000,,,
2023/2024,18-64 yrs,Rural North,09/23/2023,38,2023,90,840,10.714285714285714,Moderate,3,276,1.087000,Very Low,1,163,0.613500,Very Low,,,,,,,,,,,,,,,,38,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Southern California,09/23/2023,38,2023,1409,9389,15.006922994994143,High,30,4169,0.719600,Very Low,10,1843,0.542600,Very Low,,,,,,,,,,,,,,,,1360,41,0,2,3.014706,0.000000,0.147059,,,
2023/2024,0-17 yrs,Rural North,09/30/2023,39,2023,14,269,5.2044609665427508,Low,0,144,0.000000,Very Low,0,83,0.000000,Very Low,,,,,,,,,,,,,,,,1,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Southern California,09/30/2023,39,2023,374,6343,5.896263597666719,Low,45,2865,1.570700,Very Low,87,2096,4.150800,Moderate,,,,,,,,,,,,,,,,21,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Bay Area,07/08/2023,27,2023,991,24616,4.0258368540786478,Low,30,906,3.311300,Low,0,777,0.000000,Very Low,,,,,,,,,,,,,,,,249,3,0,0,1.204819,0.000000,0.000000,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,07/08/2023,27,2023,45,924,4.8701298701298708,Low,7,203,3.448300,Low,0,64,0.000000,Very Low,,,,,,,,,,,,,,,,1,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,>64 yrs,Los Angeles,07/08/2023,27,2023,462,12082,3.8238702201622248,Low,20,1163,1.719700,Very Low,2,855,0.233900,Very Low,,,,,,,,,,,,,,,,849,8,0,0,0.942285,0.000000,0.000000,,,
2023/2024,0-17 yrs,Bay Area,07/15/2023,28,2023,200,6758,2.9594554601953238,Very Low,32,325,9.846200,Moderate,10,386,2.590700,Low,,,,,,,,,,,,,,,,13,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,18-64 yrs,Bay Area,07/15/2023,28,2023,1217,25234,4.8228580486645001,Low,55,946,5.814000,Low,3,778,0.385600,Very Low,,,,,,,,,,,,,,,,249,3,0,0,1.204819,0.000000,0.000000,,,
